=== 调试日志 - 2026-05-29 09:59:05 ===
[2026-05-29 10:03:14] === 广告系列详情（共765个）===
[2026-05-29 10:03:14]   [1] Reolink_US_8717_13660_20260523170119515 | ASIN=B07K734ZTW | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [2] Reolink_US_8719_13667_20260523170147404 | ASIN=B08LKKMCB9 | 国家=US | 状态=ENABLED | 花费=$5.78
[2026-05-29 10:03:14]   [3] Reolink_US_8711_13655_20260523165957280 | ASIN=B0D1BG66F6 | 国家=US | 状态=ENABLED | 花费=$1.85
[2026-05-29 10:03:14]   [4] Reolink_US_8718_13651_20260523170133063 | ASIN=B0B8HLSQ6F | 国家=US | 状态=ENABLED | 花费=$9.33
[2026-05-29 10:03:14]   [5] Reolink_US_8715_13634_20260523170139627 | ASIN=B07W4WBKKJ | 国家=US | 状态=ENABLED | 花费=$1.90
[2026-05-29 10:03:14]   [6] Reolink_US_8713_13679_20260523170028131 | ASIN=B0DQ18721F | 国家=US | 状态=ENABLED | 花费=$2.70
[2026-05-29 10:03:14]   [7] Reolink_US_9256_14510_20260525194627462 | ASIN=B0CTCCLHNM | 国家=US | 状态=ENABLED | 花费=$1.76
[2026-05-29 10:03:14]   [8] Reolink_US_9266_14501_20260525212735599 | ASIN=B0CPDTM879 | 国家=US | 状态=ENABLED | 花费=$0.00
[2026-05-29 10:03:14]   [9] Reolink_US_8391_13298_20260521153845917 | ASIN=B0CTCCLHNM | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [10] Reolink_US_8386_13299_20260521153655664 | ASIN=B0CPDTM879 | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [11] Reolink_US_8388_13291_20260521153755612 | ASIN=B0F9F4D9XS | 国家=US | 状态=PAUSED | 花费=$0.00
[2026-05-29 10:03:14]   [12] Reolink_US_8389_13282_20260521153809539 | ASIN=B0FM45MSS8 | 国家=US | 状态=ENABLED | 花费=$9.23
[2026-05-29 10:03:14]   [13] Reolink_US_8390_13285_20260521153830653 | ASIN=B07W4WBKKJ | 国家=US | 状态=ENABLED | 花费=$1.63
